Species Name,Common Name,GRANK,SRANK,FEDERAL,STATE
Hylotelephium telephioides,Allegheny stonecrop,G4,S3,,ST
Hymenopappus scabiosaeus,var. Carolina woollywhite,G4G5T4T5,S1,,SE
Hypericum adpressum creeping,St. John's-wort,G3,S2,,ST
Hypericum dolabriforme straggling,St. John's-wort,G4,S3,,ST
Hypericum frondosum golden,St. John's-wort,G4,SX,,SX
Hypericum gymnanthum clasping-leaved,St. John's-wort,G4,S1,,SE
Hypericum pyramidatum great,St. John's-wort,G5T5,S2,,ST
Hypericum swinkianum,Swink's St. John's-wort,GNR,S1S2,,SE
Hypericum virgatum coppery,St. John's-wort,G4?,S2,,ST
Ilex mucronata mountain,holly,G5,S3,,ST
Iresine rhizomatosa eastern,bloodleaf,G5,S3,,ST
Isoetes engelmannii,Engelmann's quillwort,G4,S1,,SE
Isoetes melanopoda blackfoot,quillwort,G5,S2,,ST
Itea virginica,Virginia willow,G4,S1,,SE
Juglans cinerea,butternut,G3,S2,,ST
Juncus articulatus jointed,rush,G5,S1,,ST
Juncus militaris bayonet,rush,G5,S1,,SE
Juncus nodatus stout,rush,G5,S2S3,,ST
Juncus pelocarpus brown-fruited,rush,G5,S1,,SE
Juncus scirpoides scirpus-like,rush,G5,S2,,ST
Juncus secundus secund,rush,G5?,S1,,SE
Juniperus communis,var. depressa ground juniper,G5T5,S3,,ST
Juniperus horizontalis creeping,juniper,G5,SX,,
Kalmia latifolia mountain,laurel,G5,S3,,ST
Lactuca hirsuta hairy,lettuce,G5,S2,,ST
Lactuca ludoviciana western,lettuce,G4G5,SX,,SX
Larix laricina,tamarack,G5,S2,,ST
Lathyrus japonicus beach,peavine,G5,S1,,SE
Lathyrus ochroleucus pale,vetchling peavine,G5,S1,,SE
Lathyrus venosus smooth,veiny pea,G5,S1,,SE
Leavenworthia uniflora,Michaux's leavenworthia,G4,S1,,SE
Lechea racemulosa,Illinois pinweed,G5,S1,,SE
Lechea stricta upright,pinweed,G3G4,SX,,SX
Lemna gibba inflated,duckweed,G4G5,S1,,SE
Lemna minuta least,duckweed,G5,S1,,SE
Lemna perpusilla minute,duckweed,G5,SX,,SX
Lemna valdiviana pale,duckweed,G5,S1,,SE
Lespedeza stuevei tall,bush-clover,G4?,SX,,SX
Liatris pycnostachya,var. pycnostachya cattail gay-feather,G5T5,S1,,SE
Ligusticum canadense nondo,lovage,G4,S1,,SE
Lilium canadense,Canada lily,G5,S3,,ST
Lilium superbum,Turk's cap lily,G5,S3,,ST
Limnobium spongia,American frog's-bit,G4,S1,,SE
Linnaea borealis,twinflower,G5,SX,,SX
Linum intercursum sandplain,flax,G4,S1,,SE
Linum sulcatum grooved,yellow flax,G5,S3,,ST
Lipocarpha drummondii,Drummond's hemicarpha,G4G5,S1,,SE
Lithospermum incisum narrow-leaved,puccoon,G5,S1,,SE
Lithospermum parviflorum shaggy,false-gromwell,G4G5T4,S1,,SE
Lonicera canadensis,American fly-honeysuckle,G5,S1,,SE
Lorinseria areolata netted,chainfern,G5,S3,,ST
Ludwigia glandulosa,ssp. glandulosa cylindric-fruited seedbox,G5T5,S2,,ST
Ludwigia sphaerocarpa globe-fruited,false-loosestrife,G4,S1,,SE
Luzula acuminata,var. acuminata hairy woodrush,G5T5,S1,,SE
Lycopodiella inundata northern,bog clubmoss,G5,S1,,SE
Lycopodiella subappressa northern,appressed bog clubmoss,G2,S1,,SE
Lycopus amplectens sessile-leaved,bugleweed,G5,S1,,SE
Lygodium palmatum climbing,fern,G4,S1,,SE
Magnolia acuminata cucumber,magnolia,G5,S1,,SE
Magnolia tripetala umbrella,magnolia,G5,S1,,SE
Malaxis unifolia green,adder's-mouth,G5,S1,,SE
Matelea obliqua angle,pod,G4?,S3,,ST
Matteuccia struthiopteris ostrich,fern,G5,S3,,ST
Mecardonia acuminata striped,hedge hyssop,G5,S1,,SE
Melampyrum lineare,American cow-wheat,G5,S1,,SE
Melica nitens three-flower,melic grass,G5,S1,,SE
Melothria pendula creeping,cucumber,G5?,S2,,ST
Micranthes forbesii,Forbes' saxifrage,G4Q,S1,,SE
Mikania scandens climbing,hempweed,G5,S1,,SE
Milium effusum tall,millet-grass,G5,S1,,ST
Minuartia michauxii,var. michauxii Michaux's stitchwort,G5T5,S2,,ST
Minuartia patula,Pitcher's stitchwort,G4,S1,,SE
Monarda bradburiana eastern,bee-balm,G5,S1,,SE
Muhlenbergia capillaris long-awn,hairgrass,G5,S1,,SE
Muhlenbergia cuspidata plains,muhly,G5,S1,,SE
Myosotis laxa smaller,forget-me-not,G5,S2,,ST
Myriophyllum pinnatum cutleaf,water-milfoil,G5,S1,,SE
Myriophyllum tenellum slender,water-milfoil,G5,S1,,SE
Myriophyllum verticillatum whorled,water-milfoil,G5,S3,,ST
Myriopteris lanosa hairy,lipfern,G5,S3,,ST
