Common Name,Scientific Name,Status,State,Taxon Key
Bowhead whale,Balaena mysticetus,Endangered,All,2440330
Bracted twistflower,Streptanthus bracteatus,Threatened,All,3041575
Brady pincushion cactus,Pediocactus bradyi,Endangered,All,3084063
Braun's rock-cress,Arabis perstellata,Endangered,All,8258667
Braunton's milk-vetch,Astragalus brauntonii,Endangered,All,5346019
Brazilian guitarfish,Rhinobatos horkelii,Endangered,All,
Brazilian sideneck turtle,Phrynops hogei,Endangered,All,2442081
Brazilian three-toed sloth,Bradypus torquatus,Endangered,All,2436351
Brazillian merganser,Mergus octosetaceus,Endangered,All,5232480
Brindled nail-tailed wallaby,Onychogalea fraenata,Endangered,All,2440152
Britton's beargrass,Nolina brittoniana,Endangered,All,2776991
Broad-snouted caiman,Caiman latirostris,Threatened,All,5846511
Broad-snouted caiman,Caiman latirostris,Endangered,All,5846511
Brooksville bellflower,Campanula robinsiae,Endangered,All,12227511
Brother's Island tuatara,Sphenodon guntheri,Endangered,All,5227650
Brown-banded antpitta,Grallaria milleri,Endangered,All,2490519
Brown bear,Ursus arctos arctos,Endangered,All,7193950
Brown bear,Ursus arctos pruinosus,Endangered,All,6163852
Brown eared pheasant,Crossoptilon mantchuricum,Endangered,All,2474098
Brown Hyena,Parahyaena (=Hyaena) brunnea,Endangered,All,5218780
Bruneau Hot springsnail,Pyrgulopsis bruneauensis,Endangered,All,2299975
Brush-tailed rat-kangaroo,Bettongia penicillata,Endangered,All,2440026
Buena Vista Lake shrew,Sorex ornatus relictus,Endangered,All,6163345
Buff-headed marmoset,Callithrix flaviceps,Endangered,All,5219543
Bull Trout,Salvelinus confluentus,Threatened,All,2351244
Bulmer's fruit bat (=flying fox),Aproteles bulmerae,Endangered,All,2432939
Bumblebee bat,Craseonycteris thonglongyai,Endangered,All,2433358
Bunched arrowhead,Sagittaria fasciculata,Endangered,All,5328953
Bunched cory cactus,Coryphantha ramillosa,Threatened,All,3084427
Burke's goldfields,Lasthenia burkei,Endangered,All,3144226
Burmese peacock turtle,Morenia ocellata,Endangered,All,5220623
Butte County meadowfoam,Limnanthes floccosa ssp. californica,Endangered,All,5659329
Cabot's tragopan pheasant,Tragopan caboti,Endangered,All,2473545
Cabrera's hutia,Capromys angelcabrerai,Endangered,All,2437643
Cactus ferruginous pygmy-owl,Glaucidium brasilianum cactorum,Threatened,All,5232122
Caerulean Paradise flycatcher,Eutrichomyias rowleyi,Endangered,All,2486697
Cahaba shiner,Notropis cahabae,Endangered,All,2362300
Calamianes (=Philippine) deer,Axis porcinus calamianensis,Endangered,All,5220130
California condor,Gymnogyps californianus,Endangered,All,2481920
California freshwater shrimp,Syncaris pacifica,Endangered,All,2223027
California jewelflower,Caulanthus californicus,Endangered,All,3042043
California least tern,Sternula antillarum browni,Endangered,All,6065775
California Orcutt grass,Orcuttia californica,Endangered,All,2702926
California red-legged frog,Rana draytonii,Threatened,All,2426756
California Ridgway's rail,Rallus obsoletus obsoletus,Endangered,All,9006862
California seablite,Suaeda californica,Endangered,All,6447732
California taraxacum,Taraxacum californicum,Endangered,All,5394436
California tiger Salamander,Ambystoma californiense,Threatened,All,2431960
California tiger Salamander,Ambystoma californiense,Endangered,All,2431960
California tiger Salamander,Ambystoma californiense,Endangered,All,2431960
Calistoga allocarya,Plagiobothrys strictus,Endangered,All,2925730
Callippe silverspot butterfly,Speyeria callippe callippe,Endangered,All,7206001
Cameroon clawless otter,Aonyx congicus (=congica) microdon,Endangered,All,2433900
Cameroon toad,Bufo superciliaris,Endangered,All,10679545
Campbell Island flightless teal,Anas aucklandica nesiotis,Endangered,All,2498120
Canada Lynx,Lynx canadensis,Threatened,All,2435263
Canarian black oystercatcher,Haematopus meadewaldoi,Endangered,All,2480267
Canby's dropwort,Oxypolis canbyi,Endangered,All,7463757
Candy darter,Etheostoma osburni,Endangered,All,2382323
Canelo Hills ladies'-tresses,Spiranthes delitescens,Endangered,All,2805497
Canoe Creek Clubshell,Pleurobema athearni,Endangered,All,7439205
Cantabrian capercaillie,Tetrao urogallus cantabricus,Endangered,All,6180052
Capa rosa,Callicarpa ampla,Endangered,All,5341131
Cape Fear shiner,Notropis mekistocholas,Endangered,All,2362226
Cape Mountain zebra,Equus zebra ssp. zebra,Endangered,All,2440888
Cape Sable seaside sparrow,Ammospiza maritima mirabilis,Endangered,All,6173500
Cape Sable Thoroughwort,Chromolaena frustrata,Endangered,All,3087745
Capped Langur,Trachypithecus (=Presbytis) pileatus,Endangered,All,2436538
Carolina heelsplitter,Lasmigona decorata,Endangered,All,2288263
Carolina madtom,Noturus furiosus,Endangered,All,2341034
Carolina northern flying squirrel,Glaucomys sabrinus coloratus,Endangered,All,6163591
Carson wandering skipper,Pseudocopaeodes eunus obscurus,Endangered,All,4301418
Carter's mustard,Warea carteri,Endangered,All,5375486
Carter's panicgrass,Panicum fauriei var. carteri,Endangered,All,2705118
Carter's small-flowered flax,Linum carteri carteri,Endangered,All,2873888
Casey's June Beetle,Dinacoma caseyi,Endangered,All,1054051
Catalina Island mountain-mahogany,Cercocarpus traskiae,Endangered,All,3001938
Cat Island turtle,Trachemys terrapen,Endangered,All,2442942
Cauca guan,Penelope perspicax,Endangered,All,2482224
Cayman Brac ground iguana,Cyclura nubila caymanensis,Threatened,All,5224658
Cebello halumtano,Bulbophyllum guamense,Threatened,All,2842972
Cebu black shama (thrush),Copsychus niger cebuensis,Endangered,All,2492679
Cedros Island mule Deer,Odocoileus hemionus cerrosensis,Endangered,All,6165153
Central American river turtle,Dermatemys mawii,Endangered,All,2442495
Central American tapir,Tapirus bairdii,Endangered,All,8395500
Ceylon mugger crocodile,Crocodylus palustris kimbula,Endangered,All,2441350
Chambered nautilus,Nautilus pompilius,Threatened,All,2289202
Chapman rhododendron,Rhododendron chapmanii,Endangered,All,7431782
Chatham Island petrel,Pterodroma axillaris,Endangered,All,2481447
Chatham Island pigeon,Hemiphaga novaeseelandiae chathamensis,Endangered,All,4851668
Chatham Island robin,Petroica traversi,Endangered,All,2489317
Cheat Mountain salamander,Plethodon nettingi,Threatened,All,2431478
Cheer pheasant,Catreus wallichii,Endangered,All,5227753
Cheetah,Acinonyx jubatus,Endangered,All,2435270
Cherokee darter,Etheostoma scotti,Threatened,All,2382310
Cherry-throated tanager,Nemosia rourei,Endangered,All,5230588
Chihuahua chub,Gila nigrescens,Threatened,All,2360076
Chilean false larch,Fitzroya cupressoides,Threatened,All,2684353
Chilean woodstar,Eulidia yarrellii,Endangered,All,2476046
Chiltan (=wild goat) markhor,Capra falconeri (=aegragrus) chiltanensis,Endangered,All,4262710
Chimpanzee,Pan troglodytes,Endangered,All,5219534
Chinese alligator,Alligator sinensis,Endangered,All,2441368
Chinese Camp brodiaea,Brodiaea pallida,Threatened,All,2767716
Chinese egret,Egretta eulophotes,Endangered,All,2480887
Chinese giant salamander,Andrias davidianus (=davidianus d.),Endangered,All,2432037
Chinese monal pheasant,Lophophorus lhuysii,Endangered,All,5227748
Chinese River Dolphin,Lipotes vexillifer,Endangered,All,2440328
Chinese sturgeon,Acipenser sinensis,Endangered,All,2402151
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Endangered,All,5204024
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Threatened,All,5204024
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Endangered,All,5204024
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Threatened,All,5204024
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Threatened,All,5204024
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Threatened,All,5204024
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Threatened,All,5204024
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Threatened,All,5204024
Chinook salmon,Oncorhynchus (=Salmo) tshawytscha,Threatened,All,5204024
Chipola slabshell,Elliptio chipolaensis,Threatened,All,2288323
Chiricahua leopard frog,Rana chiricahuensis,Threatened,All,2427049
Chisos Mountain hedgehog Cactus,Echinocereus chisoensis var. chisoensis,Threatened,All,12201883
Chittenango ovate amber snail,Novisuccinea chittenangoensis,Threatened,All,2297225
Choctaw bean,Obovaria choctawensis,Endangered,All,7753433
Choctawhatchee beach mouse,Peromyscus polionotus allophrys,Endangered,All,2437996
Chorro Creek bog thistle,Cirsium fontinale var. obispoense,Endangered,All,4222723
Christmas Island goshawk,Accipiter fasciatus natalis,Endangered,All,6178065
Chucky Madtom,Noturus crypticus,Endangered,All,2341027
Chum salmon,Oncorhynchus keta,Threatened,All,5204014
Chum salmon,Oncorhynchus keta,Threatened,All,5204014
Chupacallos,Pleodendron macranthum,Endangered,All,3153984
Chupadera springsnail,Pyrgulopsis chupaderae,Endangered,All,2299979
Cicek (minnow),Acanthorutilus handlirschi,Endangered,All,2360976
Clara Hunt's milk-vetch,Astragalus clarianus,Endangered,All,5344591
Clarke's weaver,Ploceus golandi,Endangered,All,2494010
Clark's gazelle,Ammodorcas clarkei,Endangered,All,2441128
Clay-Loving wild buckwheat,Eriogonum pelinophilum,Endangered,All,2889635
Clay phacelia,Phacelia argillacea,Endangered,All,2928212
Clay reed-mustard,Schoenocrambe argillacea,Threatened,All,3047777
Clay's hibiscus,Hibiscus clayi,Endangered,All,3152563
Clear Creek gambusia,Gambusia heterochir,Endangered,All,2350631
Clouded leopard,Neofelis nebulosa,Endangered,All,2435079
Cloven-feathered dove,Drepanoptila holosericea,Endangered,All,2495724
clover lupine,Lupinus tidestromii,Endangered,All,2963895
