County,Scientific Name,Common Name,Status,Category,Date,Count
Vermilion,Carex willdenowii,Willdenow's Sedge,LT,Monocots,1998,1
Vermilion,Scirpus hattorianus,Bulrush,LE,Monocots,8/22/2023,1
Vermilion,Cypripedium parviflorum,Small Yellow Lady's Slipper,LE,Monocots,5/12/2025,4
Vermilion,Poa saltuensis ssp. languida,Weak Bluegrass,LE,Monocots,5/14/2012,1
Vermilion,Poa wolfii,Wolf's Bluegrass,LE,Monocots,7/14/2023,2
Vermilion,Diploperla robusta,Robust Springfly,LE,Stoneflies,5/13/2020,1
Vermilion,Epioblasma rangiana,Northern Riffleshell,LE,Freshwater Mussels,7/22/2025,5
Vermilion,Circus hudsonius,Northern Harrier,LE,Birds,6/11/1993,3
Vermilion,Nothonotus tippecanoe,Tippecanoe Darter,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",8/20/2024,3
Vermilion,Necturus maculosus,Mudpuppy,LT,Amphibians,10/10/2024,2
Vermilion,Erimystax dissimilis,Streamline Chub,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",10/11/2020,2
Vermilion,Quadrula metanevra,Monkeyface,LT,Freshwater Mussels,10/15/2025,13
Vermilion,Cambarunio iris,Rainbow,LE,Freshwater Mussels,9/29/2025,17
Vermillion,Erimystax x-punctatus,Gravel Chub,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",9/23/2021,1
Vermillion,Myotis septentrionalis,Northern Long-eared Bat,LE,Mammals,6/16/2011,1
Vigo,Ambystoma jeffersonianum,Jefferson Salamander,LT,Amphibians,3/13/2009,1
Vigo,Nocomis micropogon,River Chub,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",10/4/1964,1
Vigo,Erimystax x-punctatus,Gravel Chub,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",11/6/1960,1
Vigo,Moxostoma valenciennesi,Greater Redhorse,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",9/4/1998,1
Vigo,Elliptio crassidens,Elephant-ear,LE,Freshwater Mussels,9/2/1988,1
Vigo,Quadrula metanevra,Monkeyface,LT,Freshwater Mussels,9/2/1988,2
Wabash,Phalaropus tricolor,Wilson's Phalarope,LE,Birds,5/27/2013,1
Wabash,Sternula antillarum,Least Tern,LE,Birds,6/6/2017,4
Wabash,Chlidonias niger,Black Tern,LE,Birds,7/19/2002,1
Wabash,Lanius ludovicianus,Loggerhead Shrike,LE,Birds,4/3/2021,2
Wabash,Setophaga cerulea,Cerulean Warbler,LT,Birds,6/28/2015,1
Wabash,Limnothlypis swainsonii,Swainson's Warbler,LE,Birds,5/7/2005,1
Wabash,Erimystax x-punctatus,Gravel Chub,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",1940,1
Wabash,Noturus stigmosus,Northern Madtom,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",11/5/1964,1
Wabash,Ammocrypta pellucida,Eastern Sand Darter,LT,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",1940,1
Wabash,Etheostoma histrio,Harlequin Darter,LE,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",8/20/2019,4
Wabash,Macrochelys temminckii,Alligator Snapping Turtle,LE,Turtles,1887-pre,1
