County,Scientific Name,Common Name,Class,Order,Family,Federal Status,State Status,SGCN,Most Recent Observation Year
Grayson,Falco peregrinus,Peregrine Falcon,Aves,Falconiformes,Falconidae,N,E,Yes,2006
Grayson,Pheucticus ludovicianus,Rose-breasted Grosbeak,Aves,Passeriformes,Cardinalidae,N,S,No,2004
Grayson,Lanius ludovicianus,Loggerhead Shrike,Aves,Passeriformes,Laniidae,N,S,Yes,2016
Grayson,Centronyx henslowii,Henslow's Sparrow,Aves,Passeriformes,Passerellidae,N,S,Yes,1996
Grayson,Junco hyemalis,Dark-eyed Junco,Aves,Passeriformes,Passerellidae,N,S,No,2003
Grayson,Passerculus sandwichensis,Savannah Sparrow,Aves,Passeriformes,Passerellidae,N,S,Yes,2012
Grayson,Thryomanes bewickii,Bewick's Wren,Aves,Passeriformes,Troglodytidae,N,H,Yes,1996
Grayson,Nyctanassa violacea,Yellow-crowned Night-heron,Aves,Pelecaniformes,Ardeidae,N,T,Yes,1996
Grayson,Podilymbus podiceps,Pied-billed Grebe,Aves,Podicipediformes,Podicipedidae,N,E,Yes,2014
Grayson,Asio flammeus,Short-eared Owl,Aves,Strigiformes,Strigidae,N,E,Yes,2013
Grayson,Tyto furcata,American Barn Owl,Aves,Strigiformes,Tytonidae,N,S,Yes,2022
Grayson,Alasmidonta viridis,Slippershell Mussel,Bivalvia,Unionoida,Unionidae,N,S,Yes,1986
Grayson,Anodontoides ferussacianus,Cylindrical Papershell,Bivalvia,Unionoida,Unionidae,N,S,Yes,2001
Grayson,Elliptio crassidens,Elephantear,Bivalvia,Unionoida,Unionidae,N,S,Yes,1993
Grayson,Epioblasma rangiana,Northern Riffleshell,Bivalvia,Unionoida,Unionidae,E,E,Yes,2013
Grayson,Epioblasma triquetra,Snuffbox,Bivalvia,Unionoida,Unionidae,E,E,Yes,1993
Grayson,Fusconaia subrotunda,Longsolid,Bivalvia,Unionoida,Unionidae,T,T,Yes,2013
Grayson,Leaunio lienosus,Little Spectaclecase,Bivalvia,Unionoida,Unionidae,N,T,Yes,2001
Grayson,Leaunio ortmanni,Kentucky Creekshell,Bivalvia,Unionoida,Unionidae,N,E,Yes,2020
Grayson,Pleurobema clava,Clubshell,Bivalvia,Unionoida,Unionidae,E,E,Yes,1981
Grayson,Theliderma cylindrica,Rabbitsfoot,Bivalvia,Unionoida,Unionidae,T,E,Yes,2013
Grayson,Faxonius rafinesquei,Rough River Crayfish,Malacostraca,Decapoda,Cambaridae,N,S,Yes,2008
Grayson,Lacunicambarus chimera,Crawzilla Crawdad,Malacostraca,Decapoda,Cambaridae,N,S,Yes,2003
Grayson,Myotis grisescens,Gray Myotis,Mammalia,Chiroptera,Vespertilionidae,E,T,Yes,2015
Grayson,Myotis sodalis,Indiana Bat,Mammalia,Chiroptera,Vespertilionidae,E,E,Yes,1976
Grayson,Perimyotis subflavus,Tricolored Bat,Mammalia,Chiroptera,Vespertilionidae,PE,T,Yes,2008
Grayson,Pantherophis guttatus,Red Cornsnake,Reptilia,Squamata,Colubridae,N,S,Yes,2024
Green,Phenacobius uranops,Stargazing Minnow,Actinopterygii,Cypriniformes,Leuciscidae,N,S,Yes,2023
Green,Ammocrypta clara,Western Sand Darter,Actinopterygii,Perciformes,Percidae,N,E,Yes,1890
Green,Nothonotus maculatus,Spotted Darter,Actinopterygii,Perciformes,Percidae,N,T,Yes,2025
Green,Percina macrocephala,Longhead Darter,Actinopterygii,Perciformes,Percidae,N,E,Yes,2024
Green,Noturus stigmosus,Northern Madtom,Actinopterygii,Siluriformes,Ictaluridae,N,S,Yes,1953
Green,Cryptobranchus alleganiensis alleganiensis,Eastern Hellbender,Amphibia,Caudata,Cryptobranchidae,PE,S,Yes,2023
Green,Haliaeetus leucocephalus,Bald Eagle,Aves,Accipitriformes,Accipitridae,N,S,Yes,2021
Green,Pheucticus ludovicianus,Rose-breasted Grosbeak,Aves,Passeriformes,Cardinalidae,N,S,No,2001
Green,Riparia riparia,Bank Swallow,Aves,Passeriformes,Hirundinidae,N,S,Yes,2003
Green,Dolichonyx oryzivorus,Bobolink,Aves,Passeriformes,Icteridae,N,S,Yes,2005
Green,Lanius ludovicianus,Loggerhead Shrike,Aves,Passeriformes,Laniidae,N,S,Yes,2012
Green,Centronyx henslowii,Henslow's Sparrow,Aves,Passeriformes,Passerellidae,N,S,Yes,2020
Green,Podilymbus podiceps,Pied-billed Grebe,Aves,Podicipediformes,Podicipedidae,N,E,Yes,2012
Green,Tyto furcata,American Barn Owl,Aves,Strigiformes,Tytonidae,N,S,Yes,2022
Green,Alasmidonta marginata,Elktoe,Bivalvia,Unionoida,Unionidae,N,T,Yes,2007
Green,Alasmidonta viridis,Slippershell Mussel,Bivalvia,Unionoida,Unionidae,N,S,Yes,2023
Green,Cyprogenia stegaria,Fanshell,Bivalvia,Unionoida,Unionidae,E,E,Yes,2019
Green,Elliptio crassidens,Elephantear,Bivalvia,Unionoida,Unionidae,N,S,Yes,2016
Green,Epioblasma rangiana,Northern Riffleshell,Bivalvia,Unionoida,Unionidae,E,E,Yes,1908
Green,Epioblasma triquetra,Snuffbox,Bivalvia,Unionoida,Unionidae,E,E,Yes,2023
Green,Fusconaia subrotunda,Longsolid,Bivalvia,Unionoida,Unionidae,T,T,Yes,2019
Green,Lampsilis ovata,Pocketbook,Bivalvia,Unionoida,Unionidae,N,E,Yes,2020
Green,Leaunio lienosus,Little Spectaclecase,Bivalvia,Unionoida,Unionidae,N,T,Yes,1983
Green,Ligumia recta,Black Sandshell,Bivalvia,Unionoida,Unionidae,N,S,Yes,2006
Green,Obovaria subrotunda,Round Hickorynut,Bivalvia,Unionoida,Unionidae,T,T,Yes,1984
Green,Pleurobema clava,Clubshell,Bivalvia,Unionoida,Unionidae,E,E,Yes,2025
Green,Pleurobema plenum,Rough Pigtoe,Bivalvia,Unionoida,Unionidae,E,E,Yes,1998
Green,Theliderma cylindrica,Rabbitsfoot,Bivalvia,Unionoida,Unionidae,T,E,Yes,2025
Green,Toxolasma lividum,Purple Lilliput,Bivalvia,Unionoida,Unionidae,N,E,Yes,2025
Green,Barbicambarus cornutus,Bottlebrush Crayfish,Malacostraca,Decapoda,Cambaridae,N,S,Yes,2025
